DATAFLOW,FREQ,REF_AREA,DATA_TYPE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT111,LIFEEXP65M,2018,19.6,,,,TIPO_DATO15__LIFEEXP65M_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT111,LIFEEXP65M,2019,19.3,,,,TIPO_DATO15__LIFEEXP65M_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT111,LIFEEXP65M,2020,18.9,,,,TIPO_DATO15__LIFEEXP65M_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT111,LIFEEXP65M,2021,19,,,,TIPO_DATO15__LIFEEXP65M_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT111,LIFEEXP65M,2022,18.7,,,,TIPO_DATO15__LIFEEXP65M_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT111,LIFEEXP65M,2023,18.8,,,,TIPO_DATO15__LIFEEXP65M_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT111,LIFEEXP65M,2024,19.3,,,,TIPO_DATO15__LIFEEXP65M_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT111,LIFEEXP65M,2025,19.6,e,,,TIPO_DATO15__LIFEEXP65M_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC,LIFEEXP65M,2015,18.7,,,,TIPO_DATO15__LIFEEXP65M_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC,LIFEEXP65M,2016,19.2,,,,TIPO_DATO15__LIFEEXP65M_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC,LIFEEXP65M,2017,19.1,,,,TIPO_DATO15__LIFEEXP65M_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC,LIFEEXP65M,2018,19.2,,,,TIPO_DATO15__LIFEEXP65M_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC,LIFEEXP65M,2019,19.4,,,,TIPO_DATO15__LIFEEXP65M_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC,LIFEEXP65M,2020,17.4,,,,TIPO_DATO15__LIFEEXP65M_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC,LIFEEXP65M,2021,18.9,,,,TIPO_DATO15__LIFEEXP65M_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC,LIFEEXP65M,2022,19,,,,TIPO_DATO15__LIFEEXP65M_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC,LIFEEXP65M,2023,19.7,,,,TIPO_DATO15__LIFEEXP65M_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC,LIFEEXP65M,2024,20,,,,TIPO_DATO15__LIFEEXP65M_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC,LIFEEXP65M,2025,20.1,e,,,TIPO_DATO15__LIFEEXP65M_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,LIFEEXP65M,2015,18.5,,,,TIPO_DATO15__LIFEEXP65M_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,LIFEEXP65M,2016,19,,,,TIPO_DATO15__LIFEEXP65M_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,LIFEEXP65M,2017,18.9,,,,TIPO_DATO15__LIFEEXP65M_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,LIFEEXP65M,2018,19,,,,TIPO_DATO15__LIFEEXP65M_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,LIFEEXP65M,2019,19.2,,,,TIPO_DATO15__LIFEEXP65M_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,LIFEEXP65M,2020,17.6,,,,TIPO_DATO15__LIFEEXP65M_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,LIFEEXP65M,2021,18.7,,,,TIPO_DATO15__LIFEEXP65M_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,LIFEEXP65M,2022,18.7,,,,TIPO_DATO15__LIFEEXP65M_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,LIFEEXP65M,2023,19.4,,,,TIPO_DATO15__LIFEEXP65M_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,LIFEEXP65M,2024,19.7,,,,TIPO_DATO15__LIFEEXP65M_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,LIFEEXP65M,2025,19.8,e,,,TIPO_DATO15__LIFEEXP65M_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC11,LIFEEXP65M,2015,18.9,,,,TIPO_DATO15__LIFEEXP65M_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC11,LIFEEXP65M,2016,19.3,,,,TIPO_DATO15__LIFEEXP65M_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC11,LIFEEXP65M,2017,19.2,,,,TIPO_DATO15__LIFEEXP65M_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC11,LIFEEXP65M,2018,19.4,,,,TIPO_DATO15__LIFEEXP65M_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC11,LIFEEXP65M,2019,19.4,,,,TIPO_DATO15__LIFEEXP65M_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC11,LIFEEXP65M,2020,17.8,,,,TIPO_DATO15__LIFEEXP65M_N1,,,
