indicatore,codice,livello,territorio,anno,valore,unita,fonte,archivio
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Agrigento,2018,13.5,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Agrigento,2019,13.3,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Agrigento,2020,11.2,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Agrigento,2021,14.0,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Agrigento,2022,13.0,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Alessandria,2018,12.9,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Alessandria,2019,13.0,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Alessandria,2020,11.6,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Alessandria,2021,11.0,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Alessandria,2022,11.7,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Ancona,2018,14.9,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Ancona,2019,14.6,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Ancona,2020,14.4,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Ancona,2021,16.3,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Ancona,2022,16.7,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Aosta,2018,9.9,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Aosta,2019,9.5,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Aosta,2020,9.9,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Aosta,2021,10.5,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Aosta,2022,10.2,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Arezzo,2018,30.5,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Arezzo,2019,22.6,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Arezzo,2020,19.5,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Arezzo,2021,19.7,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Arezzo,2022,20.3,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Ascoli Piceno,2018,23.9,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Ascoli Piceno,2019,26.0,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Ascoli Piceno,2020,21.1,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Ascoli Piceno,2021,22.2,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Ascoli Piceno,2022,15.7,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Asti,2018,9.3,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Asti,2019,10.4,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Asti,2020,7.9,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Asti,2021,10.9,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Asti,2022,9.9,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Avellino,2018,15.4,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Avellino,2019,15.2,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Avellino,2020,13.2,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Avellino,2021,11.8,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Avellino,2022,14.4,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Bari,2018,12.5,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Bari,2019,11.7,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Bari,2020,10.4,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Bari,2021,12.6,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Bari,2022,13.4,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Belluno,2018,9.4,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Belluno,2019,7.5,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Belluno,2020,9.8,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Belluno,2021,10.2,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Belluno,2022,8.4,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Benevento,2018,20.4,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Benevento,2019,17.2,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Benevento,2020,13.5,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Benevento,2021,12.7,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Benevento,2022,13.7,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Bergamo,2018,12.4,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Bergamo,2019,10.9,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Bergamo,2020,12.2,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Bergamo,2021,12.2,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Bergamo,2022,10.1,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Biella,2018,4.8,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Biella,2019,4.0,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Biella,2020,5.2,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Biella,2021,4.9,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Biella,2022,6.3,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Bologna,2018,10.7,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Bologna,2019,10.0,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Bologna,2020,9.6,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Bologna,2021,9.9,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Bologna,2022,8.6,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Bolzano,2018,14.4,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Bolzano,2019,14.0,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Bolzano,2020,13.6,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Bolzano,2021,13.9,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Bolzano,2022,12.5,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Brescia,2018,10.8,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Brescia,2019,10.5,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Brescia,2020,10.8,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Brescia,2021,11.8,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Brescia,2022,11.2,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Brindisi,2018,14.3,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Brindisi,2019,12.3,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Brindisi,2020,14.7,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Brindisi,2021,18.0,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Brindisi,2022,13.5,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Cagliari,2018,14.3,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Cagliari,2019,12.2,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Cagliari,2020,10.1,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Cagliari,2021,9.3,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Cagliari,2022,8.4,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Caltanissetta,2018,18.7,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Caltanissetta,2019,19.9,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Caltanissetta,2020,15.0,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Caltanissetta,2021,13.0,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Caltanissetta,2022,15.5,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Campobasso,2018,13.5,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Campobasso,2019,11.4,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Campobasso,2020,13.2,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Campobasso,2021,14.8,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Campobasso,2022,13.1,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Caserta,2018,11.9,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Caserta,2019,11.5,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Caserta,2020,10.6,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Caserta,2021,9.2,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Caserta,2022,9.8,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Catania,2018,16.9,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Catania,2019,16.9,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Catania,2020,11.3,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Catania,2021,12.1,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Catania,2022,12.8,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Catanzaro,2018,13.3,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Catanzaro,2019,11.0,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Catanzaro,2020,10.6,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Catanzaro,2021,11.1,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Catanzaro,2022,8.0,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Chieti,2018,21.6,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Chieti,2019,20.9,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Chieti,2020,16.7,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Chieti,2021,17.6,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Chieti,2022,18.1,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Como,2018,6.5,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Como,2019,5.8,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Como,2020,5.0,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Como,2021,6.6,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Como,2022,6.7,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Cosenza,2018,17.8,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Cosenza,2019,17.2,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Cosenza,2020,14.5,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Cosenza,2021,16.3,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Cosenza,2022,13.9,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Cremona,2018,8.2,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Cremona,2019,8.7,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Cremona,2020,11.5,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Cremona,2021,8.8,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Cremona,2022,9.9,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Crotone,2018,16.9,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Crotone,2019,12.7,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Crotone,2020,13.8,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Crotone,2021,17.6,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Crotone,2022,14.0,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Cuneo,2018,13.2,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Cuneo,2019,12.6,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
Tasso di infortuni mortali e inabilità permanente,03LAV007,provincia,Cuneo,2020,11.8,per 10.000 occupati,Istat,"BES dei Territori (Bes at local level), DF_BES_TERRIT_0T, dominio BES_03"
